"0.51757","-7.8317","-2.6696","-0.85245","1.6005","-0.3615","2.7703","-3.9978","1.4032","-18.96","9.06","24.6","upstairs"
"-0.040861","-7.0553","-1.4301","-1.3068","2.3974","0.85321","2.7104","-4.0665","1.3332","-17.7","10.02","24.9","upstairs"
"-0.61292","-6.96","-0.61292","-1.7245","2.5357","1.5701","2.1286","-3.3854","0.80665","-16.26","11.34","25.2","upstairs"
"-1.2258","-6.7012","0.16344","-2.1289","2.8538","2.1775","1.7416","-3.299","0.5855100000000001","-14.94","12.54","25.08","upstairs"
"-1.7025","-7.6274","-0.36775","-2.1553","2.0245","1.3073","0.8827","-1.2724","0.38485","-12.36","14.58","25.2","upstairs"
"-1.8387","-8.0224","-1.2803","-2.042","1.6399","0.38391","0.51313","0.50457","0.49755","-10.92","15.72","25.32","upstairs"
"1.6072","-9.4934","-0.57205","1.2897","0.1957","0.90825","0.99632","-0.18479","0.81795","-8.46","17.58","25.02","upstairs"
"2.3155","-9.8203","-1.4982","1.7789","-0.1406","-0.019602","1.9713","-1.394","0.4673100000000001","-7.08","18.48","24.78","upstairs"
"0.76274","-10.706","-3.4732","0.0092047","-1.0925","-1.6867","1.339","-1.0644","-0.11118","-4.92","20.34","24.3","upstairs"
"-2.4108","-10.76","-1.4982","-2.8288","-1.1181","0.24162","0.10843","-0.978","-0.4416600000000001","-4.14","21.06","24.06","upstairs"
"-4.5492","-11.591","-0.19068","-4.0227","-1.9025","1.2331","0.7330399999999999","-1.496","-0.058338","-2.46","22.26","23.64","upstairs"
"-3.5413","-11.291","1.362","-2.7256","-1.584","2.4911","0.8396299999999999","-1.4269999999999998","0.13225","-1.8","22.68","23.34","upstairs"
"-3.051","-11.345999999999998","1.9341","-2.0305","-1.6264","2.7486","0.76755","-1.1967","0.062308","-1.2","23.04","23.1","upstairs"
"0.27241","-14.397","1.0896","1.1125","-4.6323","1.4367","0.66645","-0.19426","-0.1237","-0.6","23.58","22.68","upstairs"
"-0.62654","-16.018","-0.20431","0.14870999999999998","-6.2467","0.11127","0.32254","0.7254","-0.25198000000000004","-0.42","23.82","22.62","upstairs"
"-0.62654","-16.018","-0.20431","0.14870999999999998","-6.2467","0.11127","-0.19914","2.3451","-0.37874","-0.42","23.82","22.62","upstairs"
"2.2201","-15.636","-3.5958","2.6626","-5.8664","-2.8705","-0.25931","2.1884","-0.58643","-0.48","24.42","22.26","upstairs"
"2.8467","-14.642","-2.8058","3.0136","-4.8744","-1.9458","-1.1347","0.80084","-0.80787","-0.9","24.54","22.08","upstairs"
"2.7377","-13.906","-2.1929","2.6739","-4.1446","-1.2583","-1.9364","0.10537","-1.1023","-1.14","24.66","22.08","upstairs"
"2.4108","-13.797","-1.1713","2.1683","-4.0373","-0.24844","-2.6405","0.42822","-1.2788","-1.38","24.78","22.26","upstairs"
"2.2474","-14.07","-0.99429","1.8613","-4.3119","-0.097116","-3.1368","1.2593","-1.4594","-1.98","24.6","22.56","upstairs"
